Entry,0005916,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0005868,,,,,,,,,,,,2020,2018,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco Praepositus,DOC,Alto Adige Muller Thurgau,Abbazia Di Novacella,Alto Adige,2,13-17,Muller Thurgau 100%,Prosciutto crudo e melone,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,8,6,acciaio,steel,"Giallo paglierino. Elargisce con generosità sensazioni di pera abate e mela renetta, seguiti da sbuffi di fiori  di sambuco e vaniglia. La freschezza, finemente cesellata, guida l'assaggio, ben strutturato, e contrasta le morbidezze. Vinificazione solo in acciaio per 6 mesi. ",,Italy,,,
1,0005868-1,0.12,1,0.08,3,1,0.08,3,1,0.04,1,2.0,,,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco Praepositus,DOC,Alto Adige Muller Thurgau,Abbazia Di Novacella,Alto Adige,2★,13-17,Muller Thurgau 100%,Prosciutto crudo e melone,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,8k,6,acciaio,steel,,,Italy,,,
2,0005864,,,,,,,,,,,,2018,2015,,Alto Adige Muller Thurgau Graun,DOC,Alto Adige Muller Thurgau,Cantina Kurtatsch,Alto Adige,3,10-14,Muller Thurgau 100%,Dentice al pepe rosa con salsa al mango,86,3,86,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,15,-,acciaio/botte grande,steel/big oak,"Giallo paglierino luminoso. Olfatto variegato caratterizzato da albicocca, pesca gialla, mango, fiori d'arancio e sambuco. Al palato si presenta caldo  e materico, dotato di una freschezza stimolante. Sfocia in un finale di buona lunghezza con echi agrumati. Vinificato in acciaio e in grandi botti di legno. ",,Italy,,,
1,0005864-1,0.34,3,0.28,9,3,0.28,9,2,0.16,4,3.0,,,,Alto Adige Muller Thurgau Graun,DOC,Alto Adige Muller Thurgau,Cantina Kurtatsch,Alto Adige,3★,10-14,Muller Thurgau 100%,Dentice al pepe rosa con salsa al mango,86.0,3★,86.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,15k,-,acciaio/botte grande,steel/big oak,,,Italy,,,
2,0005860,,,,,,,,,,,,2017,2015,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco Aristos,DOC,Alto Adige Muller Thurgau,Cantina Valle Isarco,Alto Adige,2,12-16,Muller Thurgau 100%,nd,84,2,84,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,12,-,acciaio,steel,,,Italy,,,
2,0005860,,,,,,,,,,,,2018,2016,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco Aristos,DOC,Alto Adige Muller Thurgau,Cantina Valle Isarco,Alto Adige,3,12-16,Muller Thurgau 100%,Tartine con mousse di pesce spada e finocchietto,85,3,85,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,10,-,acciaio,steel,"Paglierino vivace. Quadro olfattivo composto da ricordi di melissa e fieno  di montagna, pesca e mela stark, completato da cedro e mandarino. Blandamente caldo, dipana una spiccata freschezza e una slanciata vena sapida Procede dritto verso una chiusura stimolante che invita alla beva. Solo acciaio. ",,Italy,,,
1,0005860-1,0.45,4,0.32,11,4,0.32,11,3,0.18,5,2.5,,,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco Aristos,DOC,Alto Adige Muller Thurgau,Cantina Valle Isarco,Alto Adige,2★-3★,12-16,Muller Thurgau 100%,Tartine con mousse di pesce spada e finocchietto,84.5,2★-3★,84.5,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,10k-12k,-,acciaio,steel,,,Italy,,,
2,0005858,,,,,,,,,,,,2017,2015,Val Venosta,Alto Adige Muller Thurgau Val Venosta,DOC,Alto Adige Muller Thurgau,Castel Juval Unterortl,Alto Adige,2,10-14,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,14,3,-,-,-,,,Italy,,,
2,0005858,,,,,,,,,,,,2018,2016,Val Venosta,Alto Adige Muller Thurgau Val Venosta,DOC,Alto Adige Muller Thurgau,Castel Juval Unterortl,Alto Adige,2,10-14,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,6,-,-,-,,,Italy,,,
2,0005858,,,,,,,,,,,,2019,2017,Val Venosta,Alto Adige Muller Thurgau Val Venosta,DOC,Alto Adige Muller Thurgau,Castel Juval Unterortl,Alto Adige,2,10-14,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,3,-,-,-,,,Italy,,,
2,0005858,,,,,,,,,,,,2020,2018,Val Venosta,Alto Adige Muller Thurgau Val Venosta,DOC,Alto Adige Muller Thurgau,Castel Juval Unterortl,Alto Adige,2,11-15,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,6,-,-,-,,,Italy,,,
2,0005858,,,,,,,,,,,,2022,2020,Val Venosta,Alto Adige Muller Thurgau Val Venosta,DOC,Alto Adige Muller Thurgau,Castel Juval Unterortl,Alto Adige,2,12-16,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,6,-,-,-,,,Italy,,,
1,0005858-1,0.58,6,0.41,13,6,0.41,13,3,0.23,6,2.0,,,Val Venosta,Alto Adige Muller Thurgau Val Venosta,DOC,Alto Adige Muller Thurgau,Castel Juval Unterortl,Alto Adige,2★,12-16,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13.5,3k-6k,-,-,-,,,Italy,,,
2,0005862,,,,,,,,,,,,2018,2016,,Alto Adige Muller Thurgau,DOC,Alto Adige Muller Thurgau,Hans Rottensteiner,Alto Adige,2,5-9,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,25,-,-,-,,,Italy,,,
1,0005862-1,0.12,1,0.16,5,1,0.16,5,1,0.09,3,2.0,,,,Alto Adige Muller Thurgau,DOC,Alto Adige Muller Thurgau,Hans Rottensteiner,Alto Adige,2★,5-9,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,25k,-,-,-,,,Italy,,,
2,0005855,,,,,,,,,,,,2017,2015,,Alto Adige Muller Thurgau Athesis,DOC,Alto Adige Muller Thurgau,Kettmeir,Alto Adige,2,14-18,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,5,-,-,-,,,Italy,,,
2,0005855,,,,,,,,,,,,2021,2018,,Alto Adige Muller Thurgau Athesis,DOC,Alto Adige Muller Thurgau,Kettmeir,Alto Adige,1,17-21,Muller Thurgau 100%,nd,77,1,77,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13.5,7,-,-,-,,,Italy,,,
1,0005855-1,0.12,1,0.06,2,1,0.06,2,1,0.03,1,1.5,,,,Alto Adige Muller Thurgau Athesis,DOC,Alto Adige Muller Thurgau,Kettmeir,Alto Adige,1★-2★,17-21,Muller Thurgau 100%,nd,79.5,1★-2★,79.5,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13.5,5k-7k,-,-,-,,,Italy,,,
2,0005859,,,,,,,,,,,,2017,2015,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Pacherhof,Alto Adige,2,10-14,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,12,-,-,-,,,Italy,,,
1,0005859-1,0.12,1,0.09,3,1,0.09,3,1,0.05,1,2.0,,,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Pacherhof,Alto Adige,2★,10-14,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,12k,-,-,-,,,Italy,,,
2,0005863,,,,,,,,,,,,2018,2016,,Alto Adige Muller Thurgau Caprile,DOC,Alto Adige Muller Thurgau,Peter Zemmer,Alto Adige,2,9-13,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,12.5,25,-,-,-,,,Italy,,,
1,0005863-1,0.12,1,0.10,3,1,0.10,3,1,0.06,2,2.0,,,,Alto Adige Muller Thurgau Caprile,DOC,Alto Adige Muller Thurgau,Peter Zemmer,Alto Adige,2★,9-13,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,12.5,25k,-,-,-,,,Italy,,,
2,0005857,,,,,,,,,,,,2017,2015,,Alto Adige Muller Thurgau Gfrill,DOC,Alto Adige Muller Thurgau,Peter Zemmer,Alto Adige,2,10-14,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,12.5,21,-,-,-,,,Italy,,,
1,0005857-1,0.12,1,0.09,3,1,0.09,3,1,0.05,1,2.0,,,,Alto Adige Muller Thurgau Gfrill,DOC,Alto Adige Muller Thurgau,Peter Zemmer,Alto Adige,2★,10-14,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,12.5,21k,-,-,-,,,Italy,,,
2,0005866,,,,,,,,,,,,2018,2015,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Rockhof,Alto Adige,3,6-10,Muller Thurgau 100%,Crespella ai funghi porcini,86,3,86,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,3,-,acciaio,steel,"Paglierino lucente. Al naso esibisce copiosi profumi fruttati: melone e mela cotogna, ananas e mela al forno. In bocca spiccano la viva vena fresca e la mineralità, che creano una bella tensione al palato. Semplice, ma armonico e gradevole, chiude con rintocchi fruttati che invitano al assaggio. Vinificazione condotta in acciaio. ",,Italy,,,
2,0005866,,,,,,,,,,,,2020,2018,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Rockhof,Alto Adige,2,8-12,Muller Thurgau 100%,Taglieri al salmone,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,13,3,-,acciaio,steel,"Giallo paglierino. Emana sbuffi vegetali di melissa e salvia, accompagnati da erba appena tagliata. Si insinuano note fruttate di mela, pompelmo e albicocca Sorso giovane, eppur bilanciato. Ammialia l'intreccio fresco-sapido. Solo acciaio. ",,Italy,,,
1,0005866-1,0.45,4,0.45,15,4,0.45,15,3,0.25,7,2.5,,,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Rockhof,Alto Adige,2★-3★,8-12,Muller Thurgau 100%,Crespella ai funghi porcini – Taglieri al salmone,84.0,2★-3★,84.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,13,3k,-,acciaio,steel,,,Italy,,,
2,0005865,,,,,,,,,,,,2018,2016,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Strasserhof,Alto Adige,2,9-13,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,12,5,-,-,-,,,Italy,,,
2,0005865,,,,,,,,,,,,2019,207,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Strasserhof,Alto Adige,2,9-13,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,12,3,-,-,-,,,Italy,,,
1,0005865-1,0.23,2,0.21,7,2,0.21,7,1,0.12,3,2.0,,,Valle Isarco,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Strasserhof,Alto Adige,2★,9-13,Muller Thurgau 100%,nd,82.0,2★,82.0,nd,nd,Alto Adige Muller Thurgau,Alto Adige White Wines,Bianco fermo,White Wine,12,3k-5k,-,-,-,,,Italy,,,
2,0005867,,,,,,,,,,,,2020,2018,,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Tenuta Kofererhof,Alto Adige,2,9-13,Muller Thurgau 100%,nd,82,2,82,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,12.5,6,-,-,-,,,Italy,,,
2,0005867,,,,,,,,,,,,2022,2020,,Alto Adige Muller Thurgau Valle Isarco,DOC,Alto Adige Muller Thurgau,Tenuta Kofererhof,Alto Adige,3,9-13,Muller Thurgau 100%,nd,86,3,86,,,Alto Adige Muller Thurgau ,Alto Adige White Wines,Bianco fermo,White Wine,12.5,6,-,-,-,,,Italy,,,
