Entry,0006165,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0003862,,,,,,,,,,,,2019,2017,Superiore,Colli Bolognesi Pignoletto Superiore,DOCG,Colli Bolognesi Pignoletto,Cantina Di Carpi E Sorbara,Emilia,2,10-14,Grechetto gentile 100%,nd,82,2,82,,na,Emilia Pignoletto,,Bianco fermo,White Wine,13,9,-,-,-,,,Italy,,,
2,0003862,,,,,,,,,,,,2023,2021,Superiore,Colli Bolognesi Pignoletto Superiore,DOCG,Colli Bolognesi Pignoletto,Cantina Di Carpi E Sorbara,Emilia,3,8-12,Grechetto gentile 100%,Timballo di riso e gamberi,86,3,86,,na,Emilia Pignoletto,,Bianco fermo,White Wine,13,30,-,-,-,,,Italy,,,
1,0003862-1,0.45,10,1.02,12,10,1.02,12,,,,2.5,,,Superiore,Colli Bolognesi Pignoletto Superiore,DOCG,Colli Bolognesi Pignoletto,Cantina Di Carpi E Sorbara,Emilia,2★-3★,8-12,Grechetto gentile 100%,Timballo di riso e gamberi,84.0,2★-3★,84.0,nd,nd,Emilia Pignoletto,,Bianco fermo,White Wine,13,30,0k,-,-,,,Italy,,,
2,0006159,,,,,,,,,,,,2023,2023,,Colli Bolognesi Pignoletto,DOCG,Colli Bolognesi Pignoletto,Cantina Di Carpi E Sorbara,Emilia,2,8-12,Grechetto gentile 100%,Insalata di mare,82,2,82,,na,Emilia Pignoletto,,Bianco fermo,White Wine,12,100,-,-,-,,,Italy,,,
1,0006159-1,0.12,3,0.26,3,3,0.26,3,,,,2.0,NEW,,,Colli Bolognesi Pignoletto,DOCG,Colli Bolognesi Pignoletto,Cantina Di Carpi E Sorbara,Emilia,2★,8-12,Grechetto gentile 100%,Insalata di mare,82.0,2★,82.0,nd,nd,Emilia Pignoletto,,Bianco fermo,White Wine,12,100k,-,-,-,,,Italy,,,
2,0006157,,,,,,,,,,,,2023,2020,Classico – Superiore,Colli Bolognesi Pignoletto Classico Superiore D'Estro,DOCG,Colli Bolognesi Pignoletto,Botti,Emilia,3,7-11,Grechetto gentile 100%,Filetto di branzino gratinato,86,3,86,,na,Emilia Pignoletto,,Bianco fermo,White Wine,14,9,48,cemento,concrete,,,Italy,,,
1,0006157-1,0.34,8,0.84,10,8,0.84,10,,,,3.0,NEW,,Classico – Superiore,Colli Bolognesi Pignoletto Classico Superiore D'Estro,DOCG,Colli Bolognesi Pignoletto,Botti,Emilia,3★,7-11,Grechetto gentile 100%,Filetto di branzino gratinato,86.0,3★,86.0,nd,nd,Emilia Pignoletto,,Bianco fermo,White Wine,14,9k,48,cemento,concrete,,,Italy,,,
2,0006155,,,,,,,,,,,,2023,2021,Superiore,Colli Bolognesi Pignoletto Superiore Monte Freddo,DOCG,Colli Bolognesi Pignoletto,Corte D'Aibo,Emilia,3,7-11,Grechetto gentile 100%,Lasagnette al ragù di faraona,86,3,86,,na,Emilia Pignoletto,,Bianco fermo,White Wine,14,10,48,cemento,concrete,"Paglierino lucente. Accarezza l’olfatto con profumi di susina goccia d'oro e pesca nettarina, fiori di ginestra, ricordi di macchia mediterranea e talco  Sorso pieno e glicerico, solcato da una vibrante freschezza, che dona equilibrio e dinamicità. Prosegue fino alla chiusura sapida, sempre rispondente ai profumi percepiti. Dopo la vinificazione in acciaio, sosta per 48 mesi in cemento e affina per un anno in bottiglia. ",,Italy,,,
1,0006155-1,0.34,8,0.84,10,8,0.84,10,,,,3.0,NEW,,Superiore,Colli Bolognesi Pignoletto Superiore Monte Freddo,DOCG,Colli Bolognesi Pignoletto,Corte D'Aibo,Emilia,3★,7-11,Grechetto gentile 100%,Lasagnette al ragù di faraona,86.0,3★,86.0,nd,nd,Emilia Pignoletto,,Bianco fermo,White Wine,14,10,48k,cemento,concrete,,,Italy,,,
2,0003850,,,,,,,,,,,,,2014,Classico,Colli Bolognesi Pignoletto Classico Ammestesso,DOCG,Colli Bolognesi Pignoletto,Fattorie Vallona,Emilia,4,15-19,Grechetto gentile 100%,Coniglio con carciofo violetto e patate,89,4,89,,na,Emilia Pignoletto,,Bianco fermo,White Wine,12.5,10,48,cemento,concrete,,,Italy,,,
