Entry,0006216,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0002314,,,,,,,,,,,,,,,2017,2014,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,2,10-14,Chardonnay 100%,Sarde in saor,84,2,84,nd,nd,,,Bianco Fermo,White Wine,12.5,4,10,acciaio+botte,steel+oak,"Giallo paglierino lucente. Invitante al naso confreschissimi aromi agrumati, sfalci estivi efragranze di frutta croccante. Il sorso richiamale impressioni olfattive, svelandosi fresco, perdistendersi con una sapidità che mantieneinsieme alla chiusura citrina. Vinificato inacciaio, dove matura per 10 mesi. Una piccolaparte sosta in tonneau di Allier per 10 mesi.",,Italy,,,
2,0002314,,,,,,,,,,,,,,,2018,2015,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,3,10-14,Chardonnay 100%,Risotto con ragù di carne bianca e porcini,85,3,85,nd,nd,,,Bianco Fermo,White Wine,12.5,4,10,acciaio+botte,steel+oak,"Giallo paglierino intenso e luminoso.Patrimonio olfattivo consistente, con fruttasecca, miele millefiori, susina goccia d'oro evaniglia in primo piano. Il fondo leggermentefumé lascia trasparire frutta tropicale, melagialla, salvia e rosmarino. Un'adeguataavvolgenza introduce un sorso bilanciato dafreschezza e sapidità. Buona lunghezza confinale sapido che richiama le erbe officinali.Matura parte in acciaio e parte in tonneau diAllier per 10 mesi, quindi affina per altri 2 inbottiglia.",,Italy,,,
2,0002314,,,,,,,,,,,,,,,2019,2016,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,2,10-14,Chardonnay 100%,Tagliatelle ai porcini,84,2,84,nd,nd,,,Bianco Fermo,White Wine,12.5,3,10,acciaio+botte,steel+oak,"Giallo paglierino luminoso. Essenze di vanigliae spezie dolci tracciano il quadro odoroso,seguite da stuzzicanti toni varietali di fruttatropicale, gelatina alla frutta e ricordi mineralia complemento. L'assaggio, avvolgente, briosolungo tutto il percorso gustativo, concludesapido. Maturazione in acciaio; una piccolaparte nel rovere.",,Italy,,,
2,0002314,,,,,,,,,,,,,,,2020,2017,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,2,10-14,Chardonnay 100%,nd,84,2,84,nd,nd,,,Bianco Fermo,White Wine,12.5,3,10,acciaio+botte,steel+oak,,,Italy,,,
2,0002314,,,,,,,,,,,,,,,2021,2018,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,3,10-14,Chardonnay 100%,Pollo tandori,85,3,85,nd,nd,,,Bianco Fermo,White Wine,13,4,10,acciaio+botte,steel+oak,"Paglierino luminoso. Una pregiata tracciafumé definisce per prima la compagineodorosa, per poi accogliere l'odore della peraruggine, in perfetta armonia con i temi varietalidell'albicocca e della frutta tropicale. Ingressomorbido, supportato da buon corpo, conestensione fresca e congedo che richiama lesensazioni olfattive. Sosta parte in acciaio eparte in legno per 10 mesi",,Italy,,,
2,0002314,,,,,,,,,,,,,,,2022,2019,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,3,10-14,Chardonnay 100%,nd,86,3,86,nd,nd,,,Bianco Fermo,White Wine,12.5,2,10,acciaio+botte,steel+oak,,,Italy,,,
1,0002314-1,1.36,10,34,2.84,70,,,,,127,7,0.54,13,2.5,,,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,2★-3★,10-14,Chardonnay 100%,Sarde in saor – Risotto con ragù di carne bianca e porcini – Tagliatelle ai porcini – Pollo tandori,84.7,2★-3★,84.7,nd,nd,,,Bianco Fermo,White Wine,12.5,3k,10,acciaio+botte,steel+oak,,,Italy,,,
2,0002314,,,,,,,,,,,,,,,2017,2014,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,2,10-14,Chardonnay 100%,Sarde in saor,84,2,84,nd,nd,,,Bianco Fermo,White Wine,12.5,4,10,acciaio+botte,steel+oak,"Giallo paglierino lucente. Invitante al naso confreschissimi aromi agrumati, sfalci estivi efragranze di frutta croccante. Il sorso richiamale impressioni olfattive, svelandosi fresco, perdistendersi con una sapidità che mantieneinsieme alla chiusura citrina. Vinificato inacciaio, dove matura per 10 mesi. Una piccolaparte sosta in tonneau di Allier per 10 mesi.",,Italy,,,
2,0002314,,,,,,,,,,,,,,,2018,2015,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,3,10-14,Chardonnay 100%,Risotto con ragù di carne bianca e porcini,85,3,85,nd,nd,,,Bianco Fermo,White Wine,12.5,4,10,acciaio+botte,steel+oak,"Giallo paglierino intenso e luminoso.Patrimonio olfattivo consistente, con fruttasecca, miele millefiori, susina goccia d'oro evaniglia in primo piano. Il fondo leggermentefumé lascia trasparire frutta tropicale, melagialla, salvia e rosmarino. Un'adeguataavvolgenza introduce un sorso bilanciato dafreschezza e sapidità. Buona lunghezza confinale sapido che richiama le erbe officinali.Matura parte in acciaio e parte in tonneau diAllier per 10 mesi, quindi affina per altri 2 inbottiglia.",,Italy,,,
2,0002314,,,,,,,,,,,,,,,2019,2016,,Friuli Colli Orientali Chardonnay Giugiu,DOC,Friuli Colli Orientali Chardonnay,Agricola Gori,Friuli Venezia Giulia,2,10-14,Chardonnay 100%,Tagliatelle ai porcini,84,2,84,nd,nd,,,Bianco Fermo,White Wine,12.5,3,10,acciaio+botte,steel+oak,"Giallo paglierino luminoso. Essenze di vanigliae spezie dolci tracciano il quadro odoroso,seguite da stuzzicanti toni varietali di fruttatropicale, gelatina alla frutta e ricordi mineralia complemento. L'assaggio, avvolgente, briosolungo tutto il percorso gustativo, concludesapido. Maturazione in acciaio; una piccolaparte nel rovere.",,Italy,,,
