Entry,Ref,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0000593,,,,,,,,,,,,2017,2013,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,4,15-19,Cesanese d'affile 100%,Polenta al ragù bianco di cinghiale,89,,89,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,2,12+14,acciaio+botte media,steel+medium oak,"Colore granato profondo e luminoso. Gli aromi varietali del vitigno si fondono con raffinatezza a quelli del legno, utilizzato con maestria: mirtillo, prugna in confettura, buccia d'arancia, cioccolato fondente e tabacco avana fino a  un leggero etereo di smalto. Il sorso è pieno  e appagante, con l'alcol ben integrato e il tannino levigato e avvolgente. Ottima pulizia e persistenza gustativa.",,Italy,,,
2,0000593,,,,,,,,,,,,2018,2014,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,5,20-24,Cesanese d'affile 100%,Crostoni di polenta con lepre in salmì,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,2,12+14,acciaio+botte media,steel+medium oak,"Annata non eccelsa, ma come spesso  accade dalle difficoltà si traggono gli aspetti migliori. Un manto rubino compatto e luminoso. Ampiezza olfattiva di raffinato respiro: un trionfo di frutti di bosco scuri adagiati su un prato di iris e viole mammole. Vira con eleganza su rimandi di tabacco dolce e liquirizia, La setosa trama tannica si compenetra nella spiccata freschezza, preludio di un lunghissimo e soave finale. ",,Italy,,,
2,0000593,,,,,,,,,,,,2019,2015,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,5,20-24,Cesanese d'affile 100%,Agnello al forno con ratatouille di verdure,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,2,12+14,acciaio+botte media,steel+medium oak,"Intenso colore granato. Bouquet eccellente, intessuto di ricordi eterei di smalto e vernice, tartufo nero, funghi pioppini, viola appassita, pot-pourri di fiori secchi, cioccolato, confettura di visciole, cassis e arancia sanguinella L'assaggio è vigoroso, gradevolmente fresco ed elegante, con un tannino ben levigato. L’equilibrio al gusto è garantito dalla dotazione calorica ottimamente integrata. ",,Italy,,,
2,0000593,,,,,,,,,,,,2020,2016,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,4,20-24,Cesanese d'affile 100%,Pancetta di maialino con purea di patate alle erbe,90,,90,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,2,12+12,acciaio+botte media,steel+medium oak,"Rosso granato con riflessi rubino. Variegato profilo odoroso: emergono sensazioni di visciola, amarena sotto spirito e mora in confettura; seguono aromi più vegetali di sottobosco, humus e coriandolo; in chiusura una traccia di legno di cedro e un soffio di cipria. Intensità decisa, grazie a un tannino in equilibrio con l'alcol; la struttura, pur imponente, non è mai prevaricante; ottima la persistenza",,Italy,,,
2,0000593,,,,,,,,,,,,2021,2017,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,5,20-24,Cesanese d'affile 100%,Carrè di agnello al timo,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,2,12+12,acciaio+botte media,steel+medium oak,"Manto granato con bagliori rubino. Intrigante l'olfatto, connotato da frutta matura e in confettura: amarene, more di rovo e visciole sotto spirito; petali di rosa e fiori di lillà impreziosiscono il bouquet. Pepe nero, ginepro, caffè e tabacco si liberano in chiusura, tra echi balsamici. Sorso pieno, morbido e avvolgente. La trama tannica, fitta e ben integrata nella struttura, è in perfetto equilibrio con la imponente dotazione alcolica. Persistenza lunga e indelebile nei ricordi fruttati e speziati.",,Italy,,,
2,0000593,,,,,,,,,,,,2022,2018,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,5,25-29,Cesanese d'affile 100%,Anticuchos con couscous,91,,91,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,2,12+12,acciaio+botte media,steel+medium oak,"Manto granato di buona fittezza e luce. Peonia, rosa canina, ribes nero, pepe, tracce resinose di ginepro, bergamotto e tamarindo definiscono un profilo olfattivo di estrema eleganza. Equilibrato e avvolgente il palato, con tannino levigato che accompagna nel lungo finale di spezie e frutta rossa. ",,Italy,,,
1,0000593-1,13.93,100,3.70,63,78,2.88,49,,0,,4.7,,,Superiore – Riserva,Cesanese Del Piglio Superiore Riserva Lepanto,DOCG,Cesanese Del Piglio,Alberto Giacobbe,Lazio,4★-5★,25-29,Cesanese d'affile 100%,Polenta al ragù bianco di cinghiale – Crostoni di polenta con lepre in salmì – Agnello al forno con ratatouille di verdure – Pancetta di maialino con purea di patate alle erbe – Carrè di agnello al timo – Anticuchos con couscous,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14.5,2k,12 mesi in acciaio + 12-14 mesi in tonneau + 12 mesi in bottiglia,acciaio+botte media,steel+medium oak,,,Italy,,,
2,0000610,,,,,,,,,,,,,2016,,Cesanese Del Piglio Cerciole,DOCG,Cesanese Del Piglio,Cantina Sociale Del Piglio,Lazio,2,5-9,Cesanese d'affile 100%,Salsiccia e patate,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,70,9,sur lie,sur lie,"Rubino cupo. Incipit di noce moscata, pepe nero e chiodi garofano, seguiti da richiami di viola, di prugna e di frutti rossi. In bocca mostra l'irruenza della gioventù, con un tannino ancora scalpitante e una freschezza vibrante.",,Italy,,,
1,0000610-1,0.12,1,0.12,2,1,0.09,2,,0,,2.0,,,,Cesanese Del Piglio Cerciole,DOCG,Cesanese Del Piglio,Cantina Sociale Del Piglio,Lazio,2★,5-9,Cesanese d'affile 100%,Salsiccia e patate,na,,na,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,70k,9,sur lie,sur lie,,,Italy,,,
2,0000612,,,,,,,,,,,,,2015,,Cesanese Del Piglio De Antiochia,DOCG,Cesanese Del Piglio,Cantina Sociale Del Piglio,Lazio,2,5-9,Cesanese d'affile 100%,nd,84,,84,,na,Lazio Cesanese,Rosso fermo,Red Wine,14,50,-,-,-,,,Italy,,,
