Entry,0006564,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0003246,,,,,,,,,,,,,,,2017,2017,,Franciacorta Brut,DOCG,Franciacorta,1701,Lombardia,3,20-24,Chardonnay 85% – Pinot nero 15%,Orata alle erbe in crosta di sfoglia,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,20,48,sur lie,steel+sur lie,"Colore giallo paglierino cristallino, con perlage sottile, fitto e duraturo. Colpisce al naso con sentori di camomilla, susina e pesca gialla, poi crosta di pane. Termina con una nota dolcemente agrumata di arancia candita. Al palato  è morbido, burroso, di grande equilibrio ed eccellente persistenza. Riposa per 30 mesi sui lieviti ",,Italy,Sans Année,Traditional/Classic method,Brut
2,0003246,,,,,,,,,,,,,,,2018,2018,,Franciacorta Brut,DOCG,Franciacorta,1701,Lombardia,3,20-24,Chardonnay 85% – Pinot nero 15%,Pasta al ragù bianco di coniglio,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,30,48,sur lie,steel+sur lie,"Appagante giallo paglierino luccicante. Profilo olfattivo di fiori e frutta fresca, che insiste  su sentori di croccante panificazione. Una lieve tostatura regala una gradevole scia ammandorlata. Ottima la corrispondenza dei profumi; una spiccata acidità compensa la morbidezza distintiva a tutto vantaggio di un sorso di grande bevibilità. Finale persistente. Esclusivamente acciaio e 4 anni di sosta sui lieviti. ",,Italy,Sans Année,Traditional/Classic method,Brut
1,0003246-1,0.68,261,4,0.17,6,,,,,293,4,0.17,6,3.0,,,,Franciacorta Brut,DOCG,Franciacorta,1701,Lombardia,3★,20-24,Chardonnay 85% – Pinot nero 15%,Orata alle erbe in crosta di sfoglia – Pasta al ragù bianco di coniglio,86.0,3★,86.0,nd,nd,,,Bianco spumante,Sparkling White,12.5,20k-30k,48,sur lie,steel+sur lie,,,Italy,Sans Année,Traditional/Classic method,Brut
2,0002883,,,,,,,,,,,,,,,2020,2020,,Franciacorta Brut Nature,DOCG,Franciacorta,1701,Lombardia,3,20-24,Chardonnay 85% – Pinot nero 15%,Linguine di mare e zeste di lime,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,30,8+30,acciaio+sur lie,steel+sur lie,"Giallo paglierino dagli intarsi dorati, ravvivatoda bollicine durevoli e raffinate. Al naso èdeciso, con evidenti nuance fruttate di percocae susina che si declinano poi in canditi dilimone e arancia; ricordi di tiglio e zagara siaccompagnano a note evolute di pan briochee miele di acacia. L'ingresso al palato è pieno edi pregevole morbidezza; il buon tenore acidoe la garbata sapidità assicurano un assaggiobilanciato. Riposa per 30 mesi sui lieviti.",,Italy,Sans Année,Traditional/Classic method,Pas Dosé
2,0002883,,,,,,,,,,,,,,,2021,2021,,Franciacorta Brut Nature,DOCG,Franciacorta,1701,Lombardia,3,20-24,Chardonnay 85% – Pinot nero 15%,nd,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12,30,8+24,acciaio+sur lie,steel+sur lie,,,Italy,Sans Année,Traditional/Classic method,Pas Dosé
2,0002883,,,,,,,,,,,,,,,2022,2022,,Franciacorta Brut Nature,DOCG,Franciacorta,1701,Lombardia,3,20-24,Chardonnay 85% – Pinot nero 15%,nd,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12,30,8+24,acciaio+sur lie,steel+sur lie,,,Italy,Sans Année,Traditional/Classic method,Pas Dosé
2,0002883,,,,,,,,,,,,,,,2023,2023,,Franciacorta Brut Nature,DOCG,Franciacorta,1701,Lombardia,3,21-25,Chardonnay 85% – Pinot nero 15%,Sushi e sashimi,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,30,8+24,acciaio+sur lie,steel+sur lie,,,Italy,Sans Année,Traditional/Classic method,Pas Dosé
1,0002883-1,1.35,170,8,0.33,12,,,,,184,8,0.33,12,3.0,,,,Franciacorta Brut Nature,DOCG,Franciacorta,1701,Lombardia,3★,21-25,Chardonnay 85% – Pinot nero 15%,Linguine di mare e zeste di lime – Sushi e sashimi,86.0,3★,86.0,nd,nd,,,Bianco spumante,Sparkling White,12.5,30k,8+24,acciaio+sur lie,steel+sur lie,,,Italy,Vintage,Traditional/Classic method,
2,0006099,,,,,,,,,,,,,,,2023,2016,,Franciacorta Brut Nature Blanc De Noirs,DOCG,Franciacorta,1701,Lombardia,4,38-42,Pinot nero 100%,Ravioli di patate e baccalà,89,4,89,nd,nd,,,Bianco spumante,Sparkling White,12.5,1,-,-,-,,,Italy,Vintage,Traditional/Classic method,Pas Dosé
1,0006099-1,1.68,138,9,0.23,9,,,,,151,9,0.23,9,3.3,NEW,,,Franciacorta Brut Nature Blanc De Noirs,DOCG,Franciacorta,1701,Lombardia,3★-4★,38-42,Pinot nero 100%,Sushi e sashimi – Linguine di mare e zeste di lime – Sushi e sashimi – Ravioli di patate e baccalà,86.8,3★-4★,86.8,nd,nd,,,Bianco spumante,Sparkling White,12.5,1k,-,-,-,,,Italy,Vintage,Traditional/Classic method,
2,0003245,,,,,,,,,,,,,,,2013,2013,,Franciacorta Brut Nature Millesimato,DOCG,Franciacorta,1701,Lombardia,3,20-24,Chardonnay 85% – Pinot nero 15%,Saltimbocca alla romana,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,25,8+30,acciaio+sur lie,steel+sur lie,"Veste giallo paglierino, resa brillante dalle bollicine fini e persistenti. Un esordio di biscotto lascia emergere ricordi di albicocca e pesca bianca, cui fa eco un intreccio floreale  di gelsomino e iris, con una sfumatura di nocciole tostate. l sorso è deciso: la spalla acida, contornata da una sapidità ben dosata, conferisce un insieme equilibrato. Sono le presenze tostate e quelle vagamente erbacee a scandirne l'ottima persistenza. Matura sui lieviti per 46 mesi, poi affina in bottiglia per 6. ",,Italy,Vintage,Traditional/Classic method,Pas Dosé
1,0003245-1,0.34,307,2,0.09,3,,,,,351,2,0.09,3,3.0,,,,Franciacorta Brut Nature Millesimato,DOCG,Franciacorta,1701,Lombardia,3★,20-24,Chardonnay 85% – Pinot nero 15%,Saltimbocca alla romana,86.0,3★,86.0,nd,nd,,,Bianco spumante,Sparkling White,12.5,25k,8+30,acciaio+sur lie,steel+sur lie,,,Italy,Vintage,Traditional/Classic method,Pas Dosé
