Entry,0006193,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0001543,,,,,,,,,,,,,2016,Superiore,Romagna Sangiovese Superiore Calanchi,DOC,Romagna Sangiovese,Agrintesa,Romagna,3,5-9,Sangiovese 100%,nd,86,,86,,na,,,Rosso fermo,Red Wine,11.5,4,12,botte,oak,,,Italy,,,
1,0001543-1,0.34,2,0.34,7,,,,,,,3.0,,,Superiore,Romagna Sangiovese Superiore Calanchi,DOC,Romagna Sangiovese,Agrintesa,Romagna,3★,5-9,Sangiovese 100%,nd,na,,na,,na,,,Rosso fermo,Red Wine,11.5,4,12,botte,oak,,,Italy,,,
2,0006181,,,,,,,,,,,,2023,2021,,Romagna Sangiovese Poderi Delle Rose,DOC,Romagna Sangiovese,Agrintesa,Romagna,3,3-7,Sangiovese 100%,Filetto di manzo,86,,86,,na,,,Rosso fermo,Red Wine,13,6,-,acciaio,steel,,,Italy,,,
1,0006181-1,0.34,2,0.47,9,,,,,,,3.0,NEW,,,Romagna Sangiovese Poderi Delle Rose,DOC,Romagna Sangiovese,Agrintesa,Romagna,3★,3-7,Sangiovese 100%,Filetto di manzo,86.0,0★,86.0,nd,nd,,,Rosso fermo,Red Wine,13,6k,-,acciaio,steel,,,Italy,,,
2,0006191,,,,,,,,,,,,2023,2020,,Romagna Sangiovese Superiore Poderi Delle Rose,DOC,Romagna Sangiovese,Agrintesa,Romagna,3,4-8,Sangiovese 100%,Straccetti di vitello al rosmarino,86,,86,,na,,,Rosso fermo,Red Wine,13,6,-,acciaio,steel,,,Italy,,,
1,0006191-1,0.34,2,0.40,8,,,,,,,3.0,NEW,,,Romagna Sangiovese Superiore Poderi Delle Rose,DOC,Romagna Sangiovese,Agrintesa,Romagna,3★,4-8,Sangiovese 100%,Straccetti di vitello al rosmarino,86.0,0★,86.0,nd,nd,,,Rosso fermo,Red Wine,13,6k,-,acciaio,steel,,,Italy,,,
2,0001545,,,,,,,,,,,,,2015,nd,Romagna Sangiovese Oriolo,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,nd,85,,85,,na,,,Rosso fermo,Red Wine,14,7,15,acciaio,steel,,,Italy,,,
2,0001545,,,,,,,,,,,,,2016,nd,Romagna Sangiovese Oriolo,DOC,Romagna Sangiovese,Ancarani,Romagna,3,10-14,Sangiovese 100%,Fegato alla veneziana,86,,86,,na,,,Rosso fermo,Red Wine,13.5,4,15,acciaio,steel,"Rosso rubino pieno. Chiaro nell'esprimersi: frutti rossi fragranti,  su un fondo che ricorda la violetta L'assaggio è ricco di ricordi olfattivi; il tannino è vigoroso e ben distribuito;  il sostegno dell'acidità assicura un finale dinamico e persistente, del tutto proporzionato. Matura in acciaio per 15 mesi e affina per 3 in bottiglia ",,Italy,,,
1,0001545-1,0.68,5,0.40,8,,,,,,,3.0,,,nd,Romagna Sangiovese Oriolo,DOC,Romagna Sangiovese,Ancarani,Romagna,3★,10-14,Sangiovese 100%,Fegato alla veneziana,na,,na,,na,,,Rosso fermo,Red Wine,13.5,4-7,15,acciaio,steel,,,Italy,,,
2,0001544,,,,,,,,,,,,2017,2014,Superiore,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,nd,85,,85,,na,,,Rosso fermo,Red Wine,13.5,10,10,cemento,concrete,,,Italy,,,
