Entry,0006643,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0006578,,,,,,,,,,,,,,,2017,2015,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,3,8-12,Vermentino 100%,Ravioli di cernia,85,,85,,na,,,Bianco fermo,White Wine,13.5,110,6,acciaio,steel,"Paglierino luminoso dai riflessiverdolini. Spettro olfattivo fine e intenso,forgiato su ricordi di kumquat, pescatabacchiera, fiori di camomilla, pietrafocaia ed esili soffi vanigliati. La rifinitamorbidezza, in equilibrio con la notafresco-sapida, il fruttato vivido, leincursioni minerali trascinano il sorsoverso un lento e gradevole epilogo. Soloacciaio",,Italy,,,
2,0006578,,,,,,,,,,,,,,,2018,2016,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,2,8-12,Vermentino 100%,nd,84,,84,,na,,,Bianco fermo,White Wine,13.5,100,6,acciaio,steel,,,Italy,,,
2,0006578,,,,,,,,,,,,,,,2019,2017,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,3,8-12,Vermentino 100%,Fiori di zucca in pastella,85,,85,,na,,,Bianco fermo,White Wine,13.5,120,6,acciaio,steel,"Luminoso paglierino con riflessi verdolini. Il ventaglio percettivo si snoda tra pesca bianca e melone, fiori di camonmilla e biancospino, con richiami di finocchietto selvatico. l’assaggio è allo stesso tempo teso e rotondo, capace  di esprimere vitalità; nel gioco delle parti freschezza e sapidità interpretano con diligenza i rispettivi ruoli, rendendo vivace e briosa la beva; la scia minerale si ripropone nel finale. Solo acciaio. ",,Italy,,,
2,0006578,,,,,,,,,,,,,,,2020,2018,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,3,8-12,Vermentino 100%,Seppioline alla brace,86,,86,,na,,,Bianco fermo,White Wine,13.5,150,6,acciaio,steel,"Paglierino smagliante. Il percorso odoroso si snoda tra aromi di pesca, bergamotto, uva spina, mandarino, e accenni floreali di zagara e biancospino. Assaggio dinamico e vitale, la cui cifra distintiva è il corredo acido-sapido, seppure non privo di morbidezza  e presenza calorica; coerente e accattivante nei continui richiami agrumati, chiude su ricordi di mandorla verde. Trascorre 6 mesi in acciaio. ",,Italy,,,
2,0006578,,,,,,,,,,,,,,,2021,2019,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,3,8-12,Vermentino 100%,nd,86,,86,,na,,,Bianco fermo,White Wine,13.5,150,6,acciaio,steel,,,Italy,,,
2,0006578,,,,,,,,,,,,,,,2022,2020,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,3,10-14,Vermentino 100%,nd,86,,86,,na,,,Bianco fermo,White Wine,13.5,160,6,acciaio,steel,,,Italy,,,
2,0006578,,,,,,,,,,,,,,,2023,2021,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,3,11-15,Vermentino 100%,Crostini con burro e salmone,86,,86,,na,,,Bianco fermo,White Wine,13.5,160,6,acciaio,steel,,,Italy,,,
1,0006578-1,2.15,12,36,2.77,59,,,,,,,,,2.9,,,,Vermentino Di Gallura Branu,DOCG,Vermentino Di Gallura,Vigne Surrau,Sardegna,2★-3★,11-15,Vermentino 100%,Fiori di zucca in pastella – Seppioline alla brace – Crostini con burro e salmone,85.4,0★,85.4,nd,nd,,,Bianco fermo,White Wine,13.5,160k,6,acciaio,steel,,,Italy,,,
2,0006629,,,,,,,,,,,,,,,2020,2017,Superiore,Vermentino Di Gallura Superiore Tenuta Matteu Solianu,DOCG,Vermentino Di Gallura,Andrea Ledda,Sardegna,3,18-22,Vermentino 100%,Aragosta alla catalana,86,,86,,na,,,Bianco fermo,White Wine,13.5,15,9,acciaio,steel,"Paglierino scintillante con inflessioni verdoline. Esordisce su vividi riconoscimenti di mela verde, scorza d'agrume, fiore di sambuco, zagara  ed elicriso; emergono poi raffinate nuance di timo, basilico e lievito madre, sostenute da mineralità iodata ed echi balsamici. l’assaggio è segnato da un ricco corredo acido-sapido, energico  e vibrante, appena smussato dalle morbidezze gliceriche; gli aromi di bocca persistono a lungo e il sorso si mantiene rettilineo, saporito, godibile, sfumando senza fretta su ricordi lievemente ammandorlati. Matura in acciaio per 9 mesi ",,Italy,,,
2,0006629,,,,,,,,,,,,,,,2021,2018,Superiore,Vermentino Di Gallura Superiore Tenuta Matteu Solianu,DOCG,Vermentino Di Gallura,Andrea Ledda,Sardegna,3,18-22,Vermentino 100%,Tartare di tonno rosso al lime e menta,86,,86,,na,,,Bianco fermo,White Wine,13.5,20,9,acciaio,steel,"Paglierino tenue e luminoso con verdi riflessi giovanili. Profilo olfattivo definito in partenza da sorprendenti toni di pietra focaia, che lasciano poi il proscenio a lime, pera williams, biancospino e salvia, impreziositi da una delicata speziatura di pepe bianco e sottili nuance mentolate. Assaggio finemente equilibrato, in cui una partitura gustativa corale riesce a dare contemporaneamente spazio alla spinta fresco-sapida e ai contrappunti glicerici. Finale di apprezzabile persistenza con coerenti richiami fruttati e minerali. In acciaio per 9 mesi. ",,Italy,,,
