Region,Appellation,Wines,Total,Progress
-,-,3517,4512,78
Abruzzo,Montepulciano d’Abruzzo Colline Teramane,0,47,0
Basilicata,Aglianico del Vulture Superiore,0,90,0
Campania,Taurasi,0,64,0
Campania,Fiano di Avellino,0,59,0
Campania,Greco di Tufo,0,39,0
Campania,Aglianico del Taburno,0,22,0
Emilia,Colli Bolognesi Classico Pignoletto,50,50,100
Friuli,Colli Orientali del Friuli Picolit,30,30,100
Friuli,Ramandolo,11,11,100
Friuli,Rosazzo,5,5,100
Lazio,Cesanese del Piglio / Piglio***,52,52,100
Lazio,Frascati Superiore,25,25,100
Lazio,Cannellino di Frascati,5,5,100
Lombardia,Franciacorta,333,333,100
Lombardia,Oltrepò Pavese metodo classico,88,88,100
Lombardia,Sforzato di Valtellina / Sfursat di Valtellina,24,24,100
Lombardia,Valtellina Superiore,0,61,0
Lombardia,Scanzo / Moscato di Scanzo,0,11,0
Marche,Castelli di Jesi Verdicchio Riserva,32,32,100
Marche,Offida,0,47,0
Marche,Cònero,0,43,0
Marche,Verdicchio di Matelica Riserva,0,36,0
Marche,Vernaccia di Serrapetrona,0,3,0
Piemonte,Barolo,508,508,100
Piemonte,Barbera d’Asti,189,189,100
Piemonte,Barbaresco,175,175,100
Piemonte,Alta Langa,52,52,100
Piemonte,Gattinara,25,25,100
Piemonte,Ghemme,22,22,100
Piemonte,Asti,0,187,0
Piemonte,Gavi Cortese di Gavi,80,80,100
Piemonte,Roero,55,55,100
Piemonte,Erbaluce di Caluso / Caluso,0,30,0
Piemonte,Nizza,46,46,100
Piemonte,Dogliani (Dolcetto),0,28,0
Piemonte,Ruchè di Castagnole Monferrato (Ruchè),0,14,0
Piemonte,Barbera del Monferrato Superiore,9,9,100
Piemonte,Bardolino Superiore,0,9,0
Piemonte,Dolcetto di Diano d’Alba / Diano d’Alba,0,6,0
Piemonte,Terre Alfieri,1,1,100
Piemonte,Brachetto d’Acqui / Acqui,0,2,0
Piemonte,Ovada (Dolcetto),0,2,0
Puglia,Castel del Monte Nero di Troia Riserva,0,12,0
Puglia,Castel del Monte Bombino Nero,0,6,0
Puglia,Castel del Monte Rosso Riserva,0,5,0
Puglia,Primitivo di Manduria Dolce Naturale,0,5,0
Romagna,Romagna Albana,97,97,100
Sardegna,Vermentino di Gallura,0,29,0
Sicilia,Cerasuolo di Vittoria,0,13,0
Toscana,Chianti Classico,355,355,100
Toscana,Brunello di Montalcino,183,183,100
Toscana,Chianti,176,176,100
Toscana,Vino Nobile di Montepulciano,90,90,100
Toscana,Morellino di Scansano,59,59,100
Toscana,Vernaccia di San Gimignano,42,42,100
Toscana,Elba Aleatico Passito / Aleatico Passito dell’Elba,2,2,100
Toscana,Carmignano,0,27,0
Toscana,Montecucco Sangiovese,0,24,0
Toscana,Val di Cornia Rosso / Rosso della Val di Cornia,0,4,0
Toscana,Suvereto,0,3,0
Umbria,Montefalco Sagrantino,79,79,100
Umbria,Torgiano Rosso Riserva,0,5,0
Veneto,Amarone della Valpolicella,176,176,100
Veneto,Recioto della Valpolicella,47,47,100
Veneto,Recioto di Soave,20,20,100
Veneto,Soave Superiore,13,13,100
Veneto,Recioto di Gambellara,8,8,100
Veneto,Conegliano Valdobbiadene – Prosecco / Conegliano – Prosecco / Valdobbiadene – Prosecco,293,293,100
Veneto,Colli Asolani – Prosecco / Asolo – Prosecco,60,60,100
Veneto,Colli Euganei Fior d’Arancio / Fior d’Arancio Colli Euganei,0,28,0
Veneto,Colli di Conegliano,0,8,0
Veneto,Montello rosso / Montello,0,4,0
Veneto,Piave Malanotte / Malanotte del Piave,0,4,0
Veneto,Bagnoli Friularo / Friularo di Bagnoli,0,1,0
Veneto/Friuli,Lison (in Friuli Venezia Giulia e Veneto),0,17,0
Abruzzo,Terre Tollesi Tullum,0,0,100
