Entry,0006447,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0000812,,,,,,,,,,,,2021,2011,,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,2,30-34,Sangiovese 100%,Pici al ragù di anatra,84,,84,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,15,18,12+30,acciaio+botte,steel+oak,"Vivace rubino con riflessi granato. Al naso iris, prugna, ciliegia sotto spirito, caffè e cacao. Gusto centrato sulla freschezza, sostenuta dalla dotazione calorica; discreta lunghezza con frutti scuri sul finale. Sosta 12 mesi in acciaio e 30 mesi in botti grandi, poi altri 6 in bottiglia ",,Italy,,,
2,0000812,,,,,,,,,,,,2017,2012,,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,30-34,Sangiovese 100%,Pernice alla cacciatora,85,,85,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14.5,16,12+30,acciaio+botte,steel+oak,"Colore rubino vivace. Apre al naso con aromi di marasca, note di cioccolato, resina di pino e cuoio, seguiti da burro di cacao, caffè, bacche di ginepro e muschio. L'attacco tannico è graffiante e la sapidità è ben evidente, con una discreta persistenza che conduce a una chiusura di bocca fruttata e balsamica. Matura per 12 mesi in acciaio e per  30 botte, prosegue il suo affinamento in bottiglia per altri 6 mesi ",,Italy,,,
2,0000812,,,,,,,,,,,,2018,2013,,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,30-34,Sangiovese 100%,Terrina di fagiano,86,,86,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14,14,12+30,acciaio+botte,steel+oak,"Abito rubino tendente al granato. Ammalia l'olfatto con sentori di ciliegia sotto spirito, rosa rossa, eucalipto, alloro, tabacco, pepe nero e noce moscata. L'assaggio è caldo e avvolgente, permeato da generosa acidità. Lungo finale speziato. In acciaio per 12 mesi, in botti grandi per 30 mesi e ad affinare in bottiglia per 6 mesi. ",,Italy,,,
2,0000812,,,,,,,,,,,,2019,2014,,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,30-34,Sangiovese 100%,Melanzane alla parmigiana,86,,86,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14,16,12+30,acciaio+botte,steel+oak,"Rubino trasparente con tenui accenni granato. Decisi richiami olfattivi di sottobosco e arancia sanguinella, seguit da rimandi di bacca di ginepro, china e chicco di caffè. Il sorso mostra integrità di frutto e un gradevole sentore di radice di liquirizia. Il tannino è elegante e ben integrato, appagante la spiccata freschezza. Persistenza dai ritorni citrini sul finale. Sosta in acciaio per 12 mesi, poi in botti per 30 mesi ",,Italy,,,
1,0000812-1,1.13,6,0.19,10,6,0.19,5,,,,2.8,,,,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,2★-3★,30-34,Sangiovese 100%,Pici al ragù di anatra – Pernice alla cacciatora – Terrina di fagiano – Melanzane alla parmigiana,86.0,,86,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14,14-18,12+30,acciaio+botte,steel+oak,,,Italy,,,
2,0000810,,,,,,,,,,,,2020,2010,Riserva,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,4,45-49,Sangiovese 100%,Tagliere di pecorini stagionati,89,,89,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,15,9,12+30,acciaio+botte,steel+oak,"Colore granato di buona trasparenza. Profumo intenso che evidenzia una successione di confettura di ribes, crème de cassis, amarena, pot-pourri di fiori rossi, tabacco dolce, lavanda, scorza di arancia e cipria. L'ingresso risulta caldo e avvolgente, di fattura elegante,; il sorso è pieno e lascia un retrogusto che richiama il cioccolato fondente. Il tannino è ben integrato, succoso e contribuisce a rendere il vino persistente. Riposa per 12 mesi in acciaio e per altri 40 in botti grandi di rovere di Slavonia, per poi affinare un anno in bottiglia. ",,Italy,,,
2,0000810,,,,,,,,,,,,2017,2012,Riserva,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,55-59,Sangiovese 100%,Cervo in umido,86,,86,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,15,6,12+30,acciaio+botte,steel+oak,"Tonalità rubino con accenni granato  sul bordo. Aromi di lampone, ribes, iris ed elicriso si fondono con ricordi di cioccolato, grafite, scorza di arancia, pepe verde e curcuma. Ingresso tonico, con tannini integrati: lascia un retrogusto di frutti di bosco. Riposa in acciaio per 12 mesi, in botti grandi per 30 mesi e affina in bottiglia per 6 mesi. ",,Italy,,,
2,0000810,,,,,,,,,,,,2018,2013,Riserva,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,5,55-59,Sangiovese 100%,Brasato di manzo,91,,91,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14,4,12+30,acciaio+botte,steel+oak,"Luminoso abito rubino chiaro che  vira al granato. Profumi variegati di rara eleganza: spiccano ciliegia e mora di gelso, cui fanno eco sentori di tabacco, cipria, noce moscata, pasta di olive, cardamomo, legno di sandalo e rabarbaro. Il gusto è intenso, con iniziali aromi di frutta a bacca nera; piacevole freschezza spalleggiata da un tannino di nobile fattura. Finale di notevole persistenza, dove si rincorrono sfumature di humus, arancia rossa e note tostate. Matura in acciaio per 12 mesi e in botti per 30 mesi, affina in bottiglia per 12 mesi. ",,Italy,,,
1,0000810-1,4.32,23,0.40,22,23,0.40,10,,,,4.0,,,Riserva,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3★-5★,55-59,Sangiovese 100%,Tagliere di pecorini stagionati – Cervo in umido – Brasato di manzo,91.0,,91,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14,4-9,12+30,acciaio+botte,steel+oak,,,Italy,,,
2,0000811,,,,,,,,,,,,2021,2011,,Brunello Vigna Piaggia,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,35-59,Sangiovese 100%,Petto di fagiano lardellato,86,,86,,na,Toscana Sangiovese,,Rosso fermo,Red Wine,14.5,7,12+30,acciaio+botte,steel+oak,"Veste rubino chiaro con riflessi granato. Note eleganti e nitide di rosa, violetta, marasca e mora di gelso; seguono ricordi di incenso, cuoio, alloro, ginepro, sentori mentolati e di eucalipto. Ingresso potente, con un tannino perfetto a far da protagonista. La lunga chiusura è caratterizzata da cenni di mora ed erbette aromatiche. Matura per 12 mesi in acciaio e altri 30 mesi in botti grandi, termina il percorso con un affinamento di 12 mesi in bottiglia ",,Italy,,,
