Entry,0006160,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0002837,,,,,,,,,,,,2017,2017,,Trento Brut,DOC,Trento,Abate Nero,Trentino,2,15-19,Chardonnay 100%,nd,84,2,84,nd,nd,,,Bianco spumante,Sparkling White,12.5,25,24,sur lie,steel+sur lie,,,Italy,Sans Année,Traditional/Classic method,Brut
2,0002837,,,,,,,,,,,,2019,2019,,Trento Brut,DOC,Trento,Abate Nero,Trentino,3,20-24,Chardonnay 100%,Fiori di zucca in tempura,85,3,85,nd,nd,,,Bianco spumante,Sparkling White,12.5,26,24,sur lie,steel+sur lie,"Paglierino dai bagliori luminosi e perlageincessante a formare la corona. Fiori bianchi,mela renetta e fragranze di pane si diffondono,legati da un velo di spezie. Al palato delicato iltocco minerale, coerente, con alternanza tipicadi acidità e saporita mineralità. Una cremositàsuadente conferma doti di grande bevibilità.Chiude con carattere e personalità dopo unlungo epilogo. La maturazione sui lieviti siprotrae per 24 mesi",,Italy,Sans Année,Traditional/Classic method,Brut
1,0002837-1,0.45,3,0.12,4,,,,,,,2.5,,,,Trento Brut,DOC,Trento,Abate Nero,Trentino,2★-3★,20-24,Chardonnay 100%,Fiori di zucca in tempura,84.5,2★-3★,84.5,nd,nd,,,Bianco spumante,Sparkling White,12.5,25k-26k,24,sur lie,steel+sur lie,,,Italy,Sans Année,Traditional/Classic method,Brut
2,0002726,,,,,,,,,,,,2017,2010,,Trento Brut Domini,DOC,Trento,Abate Nero,Trentino,3,25-29,Chardonnay 100%,Polpettine di cavedano su salsa di sedano rapa,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,3,6+60,acciaio+sur lie,steel+sur lie,"Sfoggia una livrea giallo paglierinocon bagliori dorati e perlage minuto eduraturo. Il bouquet si apre subito sunuance floreali, sulle quali si innestanosentori fragranti di pane e di fruttaesotica. L'entrata morbida rivela doti dibuona struttura e traccia un'appagantelinea gustativa cremosa, mentre unoslancio sapido riporta freschezza alpalato. Riposa sui lieviti per 36 mesi",,Italy,Vintage,Traditional/Classic method,Brut
2,0002726,,,,,,,,,,,,2019,2013,,Trento Brut Domini,DOC,Trento,Abate Nero,Trentino,4,25-29,Chardonnay 100%,Tagliatelle all'ortica con burro e salvia,89,4,89,nd,nd,,,Bianco spumante,Sparkling White,12.5,3,6+60,acciaio+sur lie,steel+sur lie,"Giallo paglierino intenso caratterizzato dapersistenti bollicine. Si esprime con vigoreall'olfatto, sprigionando profumi che ricordanoil gelsomino, la mela cotogna, il lime, il pepebianco, la vaniglia e il pan brioche. Al palatoè pieno, soffice, perfettamente equilibrato dauna netta e rinfrescante acidità, subito seguitada una decisa sapidità. ll richiamo floreale nellungo finale regala un tocco di eleganza a unvino che rasenta l'eccellenza. Permane 60 mesisui lieviti in bottiglia.",,Italy,Vintage,Traditional/Classic method,Brut
2,0002726,,,,,,,,,,,,2022,2016,,Trento Brut Domini,DOC,Trento,Abate Nero,Trentino,3,25-29,Chardonnay 100%,nd,88,3,88,nd,nd,,,Bianco spumante,Sparkling White,12.5,6,6+48,acciaio+sur lie,steel+sur lie,,,Italy,Vintage,Traditional/Classic method,Brut
2,0002726,,,,,,,,,,,,2023,2017,,Trento Brut Domini,DOC,Trento,Abate Nero,Trentino,3,25-29,Chardonnay 100%,Filetti di pesce persico al burro,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,4,6+48,acciaio+sur lie,steel+sur lie,,,Italy,Vintage,Traditional/Classic method,Brut
1,0002726-1,2.02,11,0.42,14,,,,,,,3.3,,,,Trento Brut Domini,DOC,Trento,Abate Nero,Trentino,3★-4★,25-29,Chardonnay 100%,Polpettine di cavedano su salsa di sedano rapa – Tagliatelle all'ortica con burro e salvia – Filetti di pesce persico al burro,87.3,3★-4★,87.3,nd,nd,,,Bianco spumante,Sparkling White,12.5,4k,6+48,acciaio+sur lie,steel+sur lie,,,Italy,Vintage,Traditional/Classic method,Brut
2,0002724,,,,,,,,,,,,2020,2013,,Trento Brut Domini Nero,DOC,Trento,Abate Nero,Trentino,3,30-34,Pinot nero 100%,Tajine di seppie,86,3,86,nd,nd,,,Bianco spumante,Sparkling White,12.5,3,6+72,acciaio+sur lie,steel+sur lie,"Paglierino deciso con vivaci e numerosecatenelle che donano lucentezza al bicchiere.Naso complesso, caratterizzato da freschenote fruttate che evolvono in sorprendentisentori di erbette fini di montagna, legate adolci profumi di pan brioche. Sorso pieno,avvolgente, di struttura e grande sapidità,regala pulizia di bocca e ricordi agrumati. Sosta| sui lieviti per 72 mesi",,Italy,Vintage,Traditional/Classic method,Brut
2,0002724,,,,,,,,,,,,2022,2015,,Trento Brut Domini Nero,DOC,Trento,Abate Nero,Trentino,5,30-34,Pinot nero 100%,Aragosta alla catalana,91,5,91,nd,nd,,,Bianco spumante,Sparkling White,12.5,3,6+60,acciaio+sur lie,steel+sur lie,Paglierino lucente dalle incessanti e sottili catenelle. L'elegan- za al naso richiama lime e mela renetta per poi virare verso pan biscotto e nocciola. L'equilibrio di bocca gioca su una spalla aci- da invidiabile che conduce a un entusiasmante finale dalla scia agrumata,,Italy,Vintage,Traditional/Classic method,Brut
