Entry,6169,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,5987,,,,,,,,,,,,,,,2017,2010,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,3,28-32,Sagrantino 100%,Cinghiale al ginepro con purea di castagne,86,3,86,nd,nd,,,Rosso fermo,Red Wine,15,20,36,botte grande,big oak,"Rubino intenso e luminoso. Pal invitanti toni dolci di mora, amarena, caramella alla frutta, macis e polvere  di caffè; più timidi si affacciano ricordi di aghi di pino, fiori appassiti, radici  e accenti fumé. Il ricco sorso regala volume, il tannino ben tracciato è attraversato da una gradevole vena di sapidità. La chiusura riserva una lunga scia fruttata con ritorni torbati. Riposa per 3 anni tra tonneau e botti da 14 e 30 ettolitri  ",,Italy,,,
2,5987,,,,,,,,,,,,,,,2018,2011,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,3,18-22,Sagrantino 100%,Palombe alla ghiotta,87,3,87,nd,nd,,,Rosso fermo,Red Wine,15,14,36,botte grande,big oak,"Rubino luminoso con bagliori granato. Approccio olfattivo raffinato: libera fragranze di lampone, fragola, rosa damascena, alloro, pepe verde e cardamomo, tabacco biondo e una soffusa balsamicità. Al gusto non tradisce le attese, esibendo un assetto dinamico con freschezza tonica, tannino sottile e saporito, in continuo dialogo con morbidezza glicerica e calore; persistenza molto lunga che lascia spazio a un indelebile ricordo fruttato. Sosta per 3 anni fra tonneau e botti da 14 e 30 ettolitri. ",,Italy,,,
2,5987,,,,,,,,,,,,,,,2019,2012,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,4,28-32,Sagrantino 100%,Carrè di agnello al tartufo,89,4,89,nd,nd,,,Rosso fermo,Red Wine,15.5,20,36,botte grande,big oak,"Ammaliante e luminosa veste rubino, attraversata da lievi trasparenze. Propone all'olfatto un profumo elegante di amarena, gelatina di mirtillo, confettura di mora; polvere di cacao e gianduia si legano a ricordi  di sottobosco e legni aromatici. Misurato ed equilibrato il sorso, ottima l'interazione dei tannini sottili e levigati con la componente calorica e la freschezza. Lunga persistenza con ricordi di frutti rossi e gianduia. Matura in botti da 30 ettolitri per 3 anni. ",,Italy,,,
2,5987,,,,,,,,,,,,,,,2020,2013,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,4,23-27,Sagrantino 100%,Brasato di bufalo,89,4,89,nd,nd,,,Rosso fermo,Red Wine,14.5,14,36,botte grande,big oak,"Rubino compatto. Sensazioni intriganti di piccoli frutti rossi in confettura, viola appassita, eucalipto ed erbe officinali che si fondono con pennellate di mirto, ginepro, liquirizia; il tutto condito da soffi di tabacco, grafite e cioccolato. Bocca dalla doppia anima: alla carezzevole morbidezza fanno da contraltare un tannino deciso ma per nulla scontroso e una minerale sapidità, che pongono la struttura in sostanziale equilibrio. Convincente il finale, che amplifica le ritrovate percezioni olfattive. Matura in botti da 18 e 30 ettolitri per 3 anni. ",,Italy,,,
2,5987,,,,,,,,,,,,,,,2021,2014,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,3,23-27,Sagrantino 100%,Stufato di manzo,87,3,87,nd,nd,,,Rosso fermo,Red Wine,14.5,14,36,botte grande,big oak,"Granato vivido. Una fine impalcatura speziata di chiodi di garofano e  noce moscata emerge su prugna e ciliegie; a seguire ricami di sottobosco  e cioccolato. Al palato la massa è vigorosa, con tannini ancora esuberanti; all’asse fresco-sapido il compito di stemperare il volume alcolico. Lungo finale coerente. Matura in botti di diverse dimensioni per 30 mesi. ",,Italy,,,
2,5987,,,,,,,,,,,,,,,2022,2015,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,4,28-32,Sagrantino 100%,Quaglie al tartufo nero,89,4,89,nd,nd,,,Rosso fermo,Red Wine,14.5,14,30,botte grande,big oak,"Bordo granato. Articolato scenario olfattivo con visciola in confet- tura, succo di mirtillo, arancia sanguinella e a seguire pepe nero, liquirizia, menta e polvere di cacao. Sorso asciutto ed equilibrato con tannino amalgamato nell’avvolgenza alcolica. Residua stria- tura sapida nel lungo finale fruttato.",,Italy,,,
1,0005987-1,4.02,13,22,0.75,26,,,,,,,,,3.5,,,,Montefalco Sagrantino Arquata,DOCG,Montefalco Sagrantino,Adanti,Umbria,3★-4★,28-32,Sagrantino 100%,Cinghiale al ginepro con purea di castagne – Palombe alla ghiotta – Carrè di agnello al tartufo – Brasato di bufalo – Stufato di manzo – Quaglie al tartufo nero,87.8,3★-4★,87.8,nd,nd,,,Rosso fermo,Red Wine,14.5,14k,30,botte grande,big oak,,,Italy,,,
2,6020,,,,,,,,,,,,,,,2018,2009,,Montefalco Sagrantino Il Domenico,DOCG,Montefalco Sagrantino,Adanti,Umbria,4,23-27,Sagrantino 100%,Piccione allo spiedo,89,4,89,nd,nd,,,Rosso fermo,Red Wine,15,4,36,botte grande,big oak,"Veste luminosa con tonalità rubino  che sfuma sul bordo granato, dove si apprezza la delicata trasparenza. Al naso regala un profumo aristocratico: nitidi i ricordi di ciliegia, arancia amara, ribes e anguria che si legano a sbuffi  di spezie, pepe di Sichuan e macis; in successione emergono ancora violetta, tabacco biondo, cuoio e sottobosco. Anche il palato si conferma di rango, manifesta un tannino ineccepibile,  che si rapporta ottimamente con la generosa traccia calorica, senza risultare invadente. Il finale è lungo e saporito, sottolineato da richiami minerali. Riposa per 3 anni in botti da 30 ettolitri e per un anno in bottiglia. ",,Italy,,,
2,6020,,,,,,,,,,,,,,,2021,2010,,Montefalco Sagrantino Il Domenico,DOCG,Montefalco Sagrantino,Adanti,Umbria,3,33-37,Sagrantino 100%,Beccacce al ginepro,86,3,86,nd,nd,,,Rosso fermo,Red Wine,14.5,2,36,botte grande,big oak,"Granato compatto. Olfatto penetrante, modulato da piccoli frutti neri, confettura di mirtilli, liquirizia, tabacco e corteccia, humus, pepe e macis. Calibrato al palato, grazie alla decisa dote tannica  e sapida che addomesticano un calore deciso. Seducente nel finale, pervaso da un tono balsamico che si integra nella fine struttura; lunga persistenza. Sosta per 42 mesi in botte grande e per 3 anni in bottiglia ",,Italy,,,
2,6020,,,,,,,,,,,,,,,2023,2012,,Montefalco Sagrantino Il Domenico,DOCG,Montefalco Sagrantino,Adanti,Umbria,5,38-42,Sagrantino 100%,Bocconcini di cinghiale con salsa di prugne,91,5,91,nd,nd,,,Rosso fermo,Red Wine,14.5,3,36,botte grande,big oak,"Un granato austero e consistente. Profilo olfattivo confidenziale e seducente: prugna nera, mora di rovo e indizi di sottobosco  folate di spezie, scie di calè e nuance di ginepro. Tannini e alcol sono aderenti al corpo e lo proiettano verso lunghezze ricche di guizzi aromatici  ",,Italy,,,
