Entry,Ref,OLDRS,RS,RAWQP,QP,RS2,RAWQP2,QP2,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0002161,,,,,,,,,,,,,2015,,Valle D'Aosta Bianco Daphne,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3,25-29,Chardonnay 75% – Pinot Grigio 25%,Volauvent con fonduta,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14,1k,12,botte piccola,small oak,Giallo paglierino con tenui riflessi dorati. Al naso è in evidenza l'impronta di pepe bianco  e di eucalipto, completata da sensazioni vanigliate e di cannella. Sentori freschi di pompelmo rosa si alternano a ricordi di cioccolato bianco e pesca sciroppata. Al palato pregevole equilibrio gustativo. Chiusura sapida con richiami di frutta secca e vaniglia. Riposa per 12 mesi in barrique. ,,Italia,,,
2,0002161,,,,,,,,,,,,,2016,,Valle D'Aosta Bianco Daphne,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3,35-39,Chardonnay 75% – Pinot Grigio 25%,Zucchine ripiene,86,3,86,3,86,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14,1k,12,botte piccola,small oak,Paglierino vivace. Il bouquet si apre su sensazioni di pesca a polpa bianca e ananas. Profumi freschi di bazar orientali, vaniglia e  un leggero miele millefiori arricchiscono il ventaglio e conquistano il cuore. All'assaggio risulta ben integrato nelle percezioni gustative, dalla trama sapida, con ritorni di fiori di ginestra e spezie. Fermenta e matura in barrique per 12 mesi ,,Italia,,,
2,0002161,,,,,,,,,,,,,2018,,Valle D'Aosta Bianco Daphne,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3,30-34,Chardonnay 75% – Pinot Grigio 25%,nd,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14,1k,12,botte piccola,small oak,,,Italia,,,
2,0002161,,,,,,,,,,,,,2019,,Valle D'Aosta Bianco Daphne,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3,30-34,Chardonnay 75% – Pinot Grigio 25%,nd,87,3,86,3,88,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14,1k,12,botte piccola,small oak,,,Italia,,,
1,0002161-1,1.35,100,3.13,100,,0,,14,0.42,7,3.0,,,,Valle D'Aosta Bianco Daphne,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3★,30-34,Chardonnay 75% – Pinot Grigio 25%,Volauvent con fonduta – Zucchine ripiene,86.3,3★,86.0,3★,87.0,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14,1k,12,botte piccola,small oak,,,Italy,,,
2,0002163,,,,,,,,,,,,,2019,,Valle D'Aosta Bianco Vin De La Fee,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3,15-19,Traminer Aromatico 90% – Prié Blanc 10%,nd,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14.5,1k,-,-,-,,,Italia,,,
2,0002163,,,,,,,,,,,,,2020,,Valle D'Aosta Bianco Vin De La Fee,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3,15-19,Traminer Aromatico 90% – Prié Blanc 10%,nd,86,nd,nd,3,86,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14.5,1k,-,-,-,,,Italia,,,
1,0002163-1,0.68,50,2.94,94,,0,,7,0.40,7,3.0,,,,Valle D'Aosta Bianco Vin De La Fee,DOC,Valle D'Aosta Bianco,Cave Gargantua,Valle D'Aosta,3★,15-19,Traminer Aromatico 90% – Prié Blanc 10%,nd,86.0,3★,86.0,3★,86.0,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14.5,1k,-,-,-,,,Italy,,,
2,0002164,,,,,,,,,,,,,2018,,Valle D'Aosta Bianco Stau,DOC,Valle D'Aosta Bianco,Cave Monaja,Valle D'Aosta,3,30-34,Chardonnay 75% – Muscat blanc a petit grains 20% – Traminer aromatico 20%,Trota alla brace con crema di toma,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,1k,12,botte piccola,small oak,"Giallo paglierino, dai lucenti riflessi dorati. Il ventaglio olfattivo si apre all'insegna dei fiori  di camomilla, con cenni di pesca e banana Completano il profilo tracce di miele. Il sorso  è fresco e giovanile, sfuma con una delicata scia sapida e un finale caratterizzato da ricordi fruttati e di erbe aromatiche. Sosta per 12 mesi in barrique di rovere. ",,Italia,,,
1,0002164-1,0.34,25,0.78,25,,0,,3,0.11,2,3.0,,,,Valle D'Aosta Bianco Stau,DOC,Valle D'Aosta Bianco,Cave Monaja,Valle D'Aosta,3★,30-34,Chardonnay 75% – Muscat blanc a petit grains 20% – Traminer aromatico 20%,Trota alla brace con crema di toma,nd,3★,nd,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13,1k,12,botte piccola,small oak,,,Italy,,,
2,0002162,,,,,,,,,,,,,2016,,Valle D'Aosta Bianco Neige D'Or,DOC,Valle D'Aosta Bianco,Les Cretes,Valle D'Aosta,3,60-64,Petite Arvine 60% – Pinot Grigio 40%,nd,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,14,3k,12,botte,oak,,,Italia,,,
2,0002162,,,,,,,,,,,,,2017,,Valle D'Aosta Bianco Neige D'Or,DOC,Valle D'Aosta Bianco,Les Cretes,Valle D'Aosta,3,60-64,Petite Arvine 60% – Pinot Grigio 40%,nd,86,3,86,nd,nd,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13.5,3k,12,botte,oak,,,Italia,,,
2,0002162,,,,,,,,,,,,,2018,,Valle D'Aosta Bianco Neige D'Or,DOC,Valle D'Aosta Bianco,Les Cretes,Valle D'Aosta,3,60-64,Petite Arvine 60% – Pinot Grigio 40%,nd,86,3,86,3,86,,Valle D'Aosta White Wines,Bianco Fermo,White Wine,13.5,2k,12,botte,oak,,,Italia,,,
