Entry,Ref,OLDRS,RANK,RS,RAWQP,QP,RANK2,RS2,RAWQP2,QP2,RANK3,RS3,RAWQP3,QP3,RawAvg,RatingYear,Vintage,Qterms,FullName,AppellationLevel,AppellationName,WineryName,Region,EvaluationAvg,Price,Grapes,Pairing,ScoreAvg,EvaluationAIS,ScoreAIS,EvaluationGR,ScoreGR,SLC,TLC,WineTypeIT,WineType,Alcohol,Bottles,AgingMonths,AgingTypeIT,AgingType,Tasting,Notes,Country,VintageNV,Method,Sweetness
2,0000163,,,,,,,,,,,,,,,2017,2010,,Amarone,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3,30-34,Corvina 45% – Corvinone 35% – Rondinella 20%,Gulash di cervo al ginepro,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,10,3+36,appassimento+botte grande,drying+big oak,"Rosso rubino lucente con riflessi granato. Subito si viene rapiti da profumi di fiori secchi di ortensia e viola, foglia di tè, tanaceto e pepe rosa. Poi una ricca scia speziata con sfumature mentolate. Equilibrio al palato, morbido e di bella freschezza. Rovere ancora un po' invadente, ma avrà modo di integrarsi in un vino che già ora coniuga forza e gradevolezza. Si congeda nel lungo finale con sentori di liquirizia e china.",,Italy,,,
2,0000163,,,,,,,,,,,,,,,2017,2012,,Amarone,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3,30-34,Corvina 40% – Corvinone 40% – Rondinella 20%,Controfiletto di sorana alle prugne,85,,85,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15,10,3+36,appassimento+botte grande,drying+big oak,"Veste luminosa color rosso rubino vivace ma  concentrato. Ventaglio odoroso che si dispiega  su confettura di more e di marasche, con tratti  agrumati di buccia d'arancia e mandarino, e un  tocco di eucalipto. Seguono le spezie dolci, un  fondo di tostatura, con refoli minerali appena  accennati. All'assaggio un abbraccio morbido  avvolge il palato, con tannini setosi e buona  freschezza. Si prolunga su ricordi di frutta  in confettura. ",,Italy,,,
2,0000163,,,,,,,,,,,,,,,2020,2015,,Amarone,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3,30-34,Corvina 40% – Corvinone 40% – Rondinella 20%,Stracotto all'amarone,86,,86,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15,10,3+36,appassimento+botte grande,drying+big oak,"Granato tenue luminoso. Espressione olfattiva che apre su spezie gentili con cannella, pepe bianco e cardamomo; si avvicendano poi la viola, l'iris selvatico, i piccoli frutti rossi, con sensazioni di grafite e tostatura di caffè e di orzo. Al palato è setoso, di grande sapidità  e con guizzo fresco ben presente; chiusura lunga e appagante. ",,Italy,,,
2,0000163,,,,,,,,,,,,,,,2021,2016,,Amarone,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3,30-34,Corvina 40% – Corvinone 40% – Rondinella 20%,nd,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,13,3+36,appassimento+botte grande,drying+big oak,,,Italy,,,
1,0000163-1,1.35,125,9,0.27,15,126,9,0.27,13,,,,,3.0,,,,Amarone,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3★,30-34,Corvina – Corvinone – Rondinella,Gulash di cervo al ginepro – Controfiletto di sorana alle prugne – Stracotto all'amarone – nd,na,,na,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,10k-13k,90 giorni di appassimento + 36 mesi in botte grande,appassimento+botte grande,drying+big oak,,,Italy,,,
2,0000165,,,,,,,,,,,,,,,2018,2010,Classico,Amarone Classico Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3,35-39,Corvina 45% – Corvinone 35% – Rondinella 20%,nd,87,,87,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16,10,-,-,-,,,Italy,,,
1,0000165-1,0.34,192,2,0.06,3,195,2,0.06,3,,,,,3.0,,,Classico,Amarone Classico Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,3★,35-39,Corvina 45% – Corvinone 35% – Rondinella 20%,nd,na,,na,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,16,10,-,-,-,,,Italy,,,
2,0000164,,,,,,,,,,,,,,,2020,2012,Classico – Riserva,Amarone Classico Riserva Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,4,35-39,Corvina 40% – Corvinone 40% – Rondinella 20%,Faraona in salsa di mirtillo rosso,89,,89,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,10,36,botte grande,big oak,"Tra il granato e il rubino, molto luminoso e consistente. Esordio di rabarbaro, china, cardamomo e radice di liquirizia. Poi cenni di erbe aromatiche, fieno secco, lavanda e geranio. Quindi la frutta evoluta, visciola sotto spirito, confettura di mora e lampone. Al sorso sorprendono il tannino deciso e incisivo ma di ottima maturità e l'altera freschezza. Chiude su ricordi agrumati e leggermente ammandorlati. Gradevolmente secco, asciutto e di grande bevibilità. ",,Italy,,,
2,0000164,,,,,,,,,,,,,,,2021,2013,Classico – Riserva,Amarone Classico Riserva Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,4,40-44,Corvina 40% – Corvinone 40% – Rondinella 20%,Sella di lepre con castagne e mirtilli,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15,3,36,botte grande,big oak,"Colore tra il rubino e il granato, luminoso e  di bella trasparenza. Intrigante il panorama olfattivo, che si concede lentamente con profumi delicati di lampone e fragola, cardamomo e arancia sanguinella; poi ancora ciliegia, violetta di campo, vaniglia e cenni balsamici ed eterei, con ricordi di china e rabarbaro. All'assaggio è setoso, fresco: scorre su un binario di calibrato equilibrio, dal tannino ben definito, fuso a dovere con le morbide rotondità percepite. Lungo il finale. ",,Italy,,,
2,0000164,,,,,,,,,,,,,,,2022,2015,Classico – Riserva,Amarone Classico Riserva Cuslanus,DOCG,Amarone Della Valpolicella,Albino Armani,Veneto,4,40-44,Corvina 40% – Corvinone 40% – Rondinella 20%,Bocconcini di cinghiale con rapa navona,90,,90,na,,Veneto Valpolicella,,Rosso fermo,Red Wine,15.5,7,36,botte grande,big oak,"Rubino luminoso. Profilo olfattivo speziato  e floreale: intense nuance di zenzero, pepe bianco, glicine e viola anticipano una fragrante melagrana e ribes, tra suggestioni mentolate. Al palato si distende con una fresca dinamica ben contrapposta alla vellutata morbidezza.  La beva è invitante, il tannino ben domato e setoso. Sapore coerente ai ricordi olfattivi ed epilogo sapido. ",,Italy,,,
